,Case,Spkr,Start,End,Speech,BERT-GS_Scores
801,19-5410,Amy_Coney_Barrett_,1694.475,1719.35," Good morning, Mr. Shanmugam. A few minutes ago, you said that Congress you described the heartland of crimes of violence as murder, rape, assault. I I have a question about assault. Many statutes include recklessness in the definition of assault. So wouldn't the categorical approach mean that if recklessness isn't included, assault's out?
",-0.647182047367096
802,19-5410,Amy_Coney_Barrett_,1819.78,1854," Mr. Shanmugam, let me just interrupt so I don't run out of time. I have another question. So the word ""against"" let me just read you this definition it can mean in into contact or collision with, toward, upon. In Justice Kagan's hypothetical where the bank robber is pulling out and she sees in the rearview mirror that someone is standing eight feet behind the car, why doesn't that definition fairly encompass harm a use of force that is toward, in collision with someone, or conscious disregard of the risk of someone? It doesn't seem to me a stretch of the English language to use it that way.
",-0.014366147108376026
803,19-5410,John_G_Roberts_Jr_,2139.39,2172.43," Recklessness does cover a a fairly broad range. You know, it does cover my swinging the baseball bat that slips, but, as I think your friend on the other side just noted, it can also cover things like, you know, failing to buckle in the child in the in the car seat or texting while driving. And I don't think in any of those situations you would say that that's using force against that those those individuals.
",1.0611119270324707
804,19-5410,Clarence_Thomas_,2275.105,2299.65500005," Thank you, Mr. Chief Justice. Counsel, just briefly if you could. There seems to be a bit of tension between Voisine and Leocal. Could you just comment on that and then also spend a little bit of time explaining why Leocal doesn't sort of doesn't imperil your case?
",-1.4066370725631714
805,19-5410,Stephen_G_Breyer_,2481.35,2580.55," In going back to the statute itself, what it does is it takes, say, possession of a firearm or ammunition, which is illegal, and it changes the sentence from no minimum up to 10 years to a 15-year minimum sentence up to life, and that happens where you have three prior crimes that fit the definition. That's a pretty serious consequence. So this Court, I think, has struggled to try to make sure the really bad things are in those three priors and not things that are not quite so bad. So that's why I find Leocal and Begay pretty much on point. Now Begay, we had drunk driving. And dozens quite a few states make drunk driving they put in that recklessness. All right. We had it and we said in the residual clause, you have to have the the residual clause is closer to what you want, 'cause it talks about a serious potential risk of physical injury. And we said there has to be conduct in those three priors that is violent, aggressive, and purposeful. Now we add a residual clause and you have words that are much closer to here. And we're trying to get out drunk driving because it just isn't the right category, given the statute. Why isn't this case a fortiori?
",1.0304882526397705
806,19-5410,Samuel_A_Alito_Jr_,2749.59,2773.17," Well, it's always a pleasure to have another case involving the Armed Career Criminal Act. It is a real it is a real favorite. Do you think that Leocal allows us to say that the ""against"" that the phrase ""against the person of another"" does not speak at all to the question of mens rea?
",-0.40829479694366455
807,19-5410,Samuel_A_Alito_Jr_,2828.18,2868.22," You you point out that if we adopt Petitioner's interpretation, crimes like second degree murder and a lot of assault offenses will not qualify as ACCA predicates. And the Petitioner responds that if we adopt your interpretation, drunk driving offenses and other less serious offenses involving reckless conduct will qualify. So which of these two parades of horribles is more horrible?
",-0.5613778233528137
808,19-5410,Sonia_Sotomayor_,2976.2,3087.36500005," Counsel, in terms of the parade of horribles, I I do think it's important to remember that judges always have the ability to decide somebody or to hold that reckless conduct doesn't qualify you for an ACCA enhancement but that the crime you committed, all the horribles that you describe, do command a greater sentence. So it's not as if these people are going to get away scot scot-free. I I also point to something that the government said in its response brief in Voisine, and that responsive brief made an opposite point than the one you advanced today. I'm quoting from your Voisine brief: ""While both provisions contain the phrase use of physical force, the domestic violence provision, and ACCA, the misdemeanor crime of violence definition omits the remainder of the Leocal's provision Section 16 definition, which qualifies that the force is against the person or property of another."" You said the ""against"" phrase was crucial to Leocal's holding, which required a higher mens rea. And yet today you're telling us that that ""against"" ""force directed against the person"" has no meaning, that the only meaning is was your conduct reckless and did it happen to cause physical injury. Were you wrong then and right now?
",0.42696884274482727
809,19-5410,Sonia_Sotomayor_,3158.94,3199.79," in Leocal, we said that a DWI cannot be a crime of violence because it does not require the use of force against the person of another. And it didn't it happened to be negligence, but its entire focus was, was the force directed at another person. It seems to me that since Tennessee and many other states are putting drunken driving in their assault statutes like this one, that what we're doing is sub silentio overruling Leocal. Maybe not sub silentio, but that's what our intent is. And that's what you're asking us to do.
",0.7760307192802429
810,19-5410,Elena_Kagan_,3230.58,3322.74," Mr. Feigin, as as you know, Voisine expressly reserves this question, just as Leocal expressly reserved the recklessness question. And and in that footnote where it does reserve it, it says the context and purposes of the statutes may be sufficiently different to require a different reading. And and this, I suppose, goes back to Justice Breyer's questions, because I think the argument might go, or at least part of the argument might go, that in ACCA, one is defining what it means to be a violent felon for purposes of imposing an extremely significant punishment, whereas, in this statute, one is talking about misdemeanors and applying only a prophylactic rule about gun possession. And, further, I mean, Voisine spends as as much time talking about the effects of coming out the other way than it does about the text. In other words, it basically says, if we don't hold the way we are holding today, this entire federal scheme will be rendered inoperative. And and that seems very different no matter if you can come up with, you know, 13 robbery statutes or or something like that, that seems an extremely different consequence of a ruling. So I guess I would ask you to respond to that set of things that might serve to distinguish this case from Voisine.
",0.37472572922706604
811,19-5410,Neil_Gorsuch_,3434.92,3494.83," Good morning, Mr. Feigin. I I guess one other possible distinction textually between this and Voisine, of course, is that we don't have the phrase ""against the person or property of another."" And I know in that case and we do here. And in Leocal, I I guess I'm still stuck. You you you don't seem to want us to read very much into that phrase, but Leocal says whether or not the word ""use"" alone supplies a mens rea element, the parties' primary focus on that word is too narrow. Then it goes on to say, ""the key phrase 'use of physical force against the person or property of another' most naturally suggests a higher degree of intent than negligent or merely accidental."" Suggesting that phrase has some work to do in mens rea. And I guess I'm still struggling with how, if we're to take our precedent seriously, we ignore that construction, which isn't present in Voisine, irrelevant in Voisine.
",0.6061828136444092
812,19-5410,Neil_Gorsuch_,3509.19,3532.385," All right. But that answer that it just relates to the object of the force runs directly counter to Leocal's express instruction that it has something to say about mens rea. And it also renders, as your friend pointed out, that phrase, ""person of another or property of another,"" superfluous in Leocal itself. What do we do about that?
",0.05082318186759949
813,19-5410,Neil_Gorsuch_,3577.43,3615.48500005," That phrase isn't in Voisine, is your problem. Let me ask you another question if we're not going to get more progress there. What do we do about the rule of lenity? And this statute is supposed to provide notice not to nine judges on the Supreme Court who are struggling with it but to ordinary Americans. And if if we can't make heads or tails of it and every circuit to have addressed it up until recently came out against you, why shouldn't we if Congress wishes to legislate here further, and, of course, it may, why shouldn't we here say the tie goes to the defendant, the presumptively free defendant?
",0.546072244644165
814,19-5410,Brett_M_Kavanaugh_,3650.21,3688.86," Good afternoon, Mr. Feigin. I want to pick up on Justice Gorsuch's point about precedent because we have two precedents we have to make sense of, Leocal and Voisine. And in your brief, I I thought the answer that you were giving about the distinction of Leocal and this is page 13 of your brief ""The Court in Voisine accordingly made clear that the critical distinction recognized in Leocal itself is between accidents and recklessness, not recklessness and knowledge or intention."" In other words, that Leocal stands for the idea that negligence doesn't come within this kind of language. Is that right?
",-0.30883145332336426
815,19-5410,Brett_M_Kavanaugh_,3707.54,3801.34," Exactly. Well, so so I'm sorry to interrupt, but the the point being that Leocal recognizes the distinction that's traditional: Negligence, out; recklessness and above, per model penal code, is usually considered more important. But you don't have to guess because you have Voisine, I guess, that draws that distinction. And so that's what I thought the distinction was between Leocal and Voisine, but as your brief said. The other thing I wanted to get to is the notice point has been raised here. And it seems to me that the notice in this kind of statute is a little bit different, but and this is more of a comment, and you can fill in the gaps of it. But we're not talking about notice for committing reckless assault under Tennessee law. What we're talking about is someone who's been convicted three times for separate offenses under Tennessee law, or other state law, who then, after being convicted of three violent felonies, knowing they shouldn't possess firearms, nonetheless possesses firearms on notice they shouldn't possess firearms because they've been convicted of these prior offenses. So you actually have to four times have committed some pretty significant violation before you fall into this statute. Is that I mean, that's my understanding, and I think that's the important point on notice, but you can elaborate if you wish.
",0.3441798686981201
816,19-5410,Amy_Coney_Barrett_,3889.82,3914.97," Good morning, Mr. Feigin. I I have a question about the language ""attempted or threatened."" So, you know, the statute ""to qualify as a crime of violence must have as an element the use, attempted use, or threatened use of physical force,"" suggesting that the kind of use of physical force is the kind that can be attempted or threatened. Does that have any significance here? Do those terms, ""attempted"" and ""threatened,"" make sense when applied to reckless conduct?
",-0.7027656435966492
817,19-5410,Amy_Coney_Barrett_,3994.59,4023.09," No, I was going to ask you a question about Johnson and vagueness. So, you know, one of the amici argues that including recklessness in ACCA is going to drag us into some of the same problems that we had under the residual clause. And this is picking up a thread that you started to touch on earlier. Is that true? You know, in in requiring courts to try to gauge what it means to pose a sub conscious disregard of a known risk, you know, how risky is the risk?
",-0.34823668003082275
818,20-543,John_G_Roberts_Jr_,136.71,164.35," Counsel, as I think you confirmed in this opening statement, you rely heavily on the legislative history, the congressional purpose, the post-enactment history, and there was a time when this Court also relied on those sources, but this this is not that time. And what is the best case you can cite from recent years for your your general approach?
",-1.152247428894043
819,20-543,Clarence_Thomas_,248.395,275.355," Thank you, Mr. Chief Justice. Counsel, would you give us again would you repeat maybe I missed it your your textual argument again? It seems like the there it seems I don't know how you cannot have the the the phrase or clause at the end modifying the entire list.
",-0.5708535313606262
820,20-543,Stephen_G_Breyer_,431.135,460.57," I I'm just curious as to whether what CARES Act expenditures necessary related to COVID, et cetera do the Alaska corporations make that kind of expenditure? Are there examples of where they did or would normally or where it was necessary, in other words, necessary in the CARES Act?
",-1.4632099866867065
821,20-543,Stephen_G_Breyer_,488.855,534.085," Okay. I I see that. What's actually bothering me here is I gather there are roughly 150 statutes that definitionally refer to the the the language refer to the statute at issue here, the ISDA, that's the that's the statute, right, that has the definition. Okay. I don't know what's in that 150 statutes. I suspect that some of them it makes sense to apply to the corporations, the Alaska Indian the corporations, and some it doesn't. So I have a very hard time have you been through those? Do we know that the view that the you're you're taking now is is is going to work in all those 150 statutes?
",0.33475348353385925
822,20-543,Stephen_G_Breyer_,566.86,587.83," How do you do that? I mean, that's that's what I can't quite figure out, because there's an argument, you know, that even if the ISDA applies, the CARES Act doesn't apply. But I don't see once you say the ISDA once that definition applies, and it's a statute that really doesn't make sense to put this kind of corporation in it, how do you read them out of it?
",0.31782305240631104
823,20-543,Samuel_A_Alito_Jr_,619.95,658.175," Mr. Guarnieri, I I think you have an absurdity argument, and I'll ask Respondents' counsel about that. But, if you can't prevail on that basis, I can see one textual argument that could possibly work for you, and you make it only in passing, and that is that the clause ""which is recognized as eligible"" doesn't mean formal recognition in the sense in which Indian Tribes are recognized. Do you have any other textual argument?
",-0.4475749731063843
824,20-543,Samuel_A_Alito_Jr_,677.845,695.855," I I understand that point. I I think that's that's possible. I don't see how it helps you, because you still have a clause modifying a list, and you want it to jump over the last item in the list. That's really odd, isn't it?
",1.0005072355270386
825,20-543,Samuel_A_Alito_Jr_,763.605,794.525," All right. Well, that's very close to what I refer to as the absurdity argument. If we were to take the other possible textual approach and say that ""recognize"" doesn't mean formal recognition, what effect would that have in other statutes that use this same definition? Would you be willing to accept that, or do you want would you want us to say this is what it means only in the CARES Act and not in the other statutes in which the same definition is used?
",-0.2638043463230133
826,20-543,Sonia_Sotomayor_,838.51,916.915," Counsel, I I'm a bit concerned, the way Justice Breyer is, about what our ruling would mean here, and it's consistent, in part, with what Justice Alito has just asked you, which is how do we rule in a narrow way that affects only the CARES Act and not the many other acts that are involved for ISDA mentioned the Johnson-O'Malley Act, the Snyder Act, which I think is now the Indian Health Improvement Act, and the Transfer Act? But I'm also understanding, I believe and you can confirm or disaffirm that there are many other housing assistance, healthcare, and social service to thousands of Alaska natives each year by the ANCs. Would our if we were to accept Respondents' position and the D.C. Circuit's holding below that ISDA does not cannot include anyone but federally recognized tribes, would we be putting at risk all of those other services?
",0.06243628263473511
827,20-543,Elena_Kagan_,1060.05,1084.63," all agree on that. I mean, the question is I mean, you're saying, look, they they wouldn't have put something in just to put some take something out. I understand that. But there's just no grammatical way to read this statute the way you want to read it, no grammatical way, which isn't to say that that's not what Congress intended. I mean, I would have thought that what you're really saying is Congress made a bad grammatical error, but we know what they meant.
",1.2852064371109009
828,20-543,Elena_Kagan_,1104.93,1117.475," But then then the question becomes, is it? You know, because I think it's a high bar before we're so confident that Congress made a mistake that we just say we think Congress made a mistake, but they meant something else.
",0.71031254529953
829,20-543,Elena_Kagan_,1117.99,1135.35," And and that comes to this question of could they have meant what they appear to mean if you just look at the text, which is that they included the ANCs so that if those ANCs were recognized in the future, they would qualify?
",-1.7283085584640503
830,20-543,Elena_Kagan_,1160.35,1197.01," But wasn't there, Mr. Guarnieri, some uncertainty at the time about what kinds of Alaskan groups would be recognized? I mean, we often say that Alaska is different. And that seems to be the case here, that the government had recognized native groups without traditional historic bonds. ANCs would have resembled tribes in that they owned land. I mean, we just have sort of different groups here, and why might Congress not have thought, well, we'll see how it all plays out and maybe one day, given the the circumstances of Alaska, these groups will be recognized?
",-0.02642204612493515
831,20-543,Neil_Gorsuch_,1231.19,1260.055," Good morning, counsel. Putting aside what what has been called the absurdity argument and just focusing on the the last clause of the text, the recognition clause, and assuming that that means something and applies to ANCs, the D.C. Circuit suggested that that's a settled term of art and it refers to government-to-government relations. What what's your response to that argument?
",-1.1810190677642822
832,20-543,Brett_M_Kavanaugh_,1340.985,1364.955," Thank you, Chief Justice. Good morning, Mr. Guarnieri. I just want to follow up on Justice Gorsuch's questions there. I read your alternative argument in the brief that to say that you agree with the other Petitioner that we shouldn't read it as a term of art. So I'm a little confused about what your argument is.
",-0.005961049813777208
833,20-543,Brett_M_Kavanaugh_,1427.375,1465.78500005," To pick up on questions I think Justice Breyer, Justice Alito, and Justice Sotomayor were asking about the implications for other statutes, we have a number of amicus briefs saying for example, the brief for the Senators and Congressmen saying the potential ramifications would be staggering if your position would not prevail. The Cook Inlet one says says it would destabilize the entire tribal health and social services system in Alaska. The brief of the Alaska Federation of Natives says similar things. Do you agree with that, or is there or not?
",-0.49526557326316833
834,20-543,Amy_Coney_Barrett_,1556.32,1633.215," Good morning, Mr. Guarnieri. I want to go back to the eligibility clause. So you you told several of my colleagues that the recognition clause that one way to understand it is that it's a term of art but that it has a well, that you could take its ordinary meaning, simply, you know, an entity that contracts with the federal government for services that are designed to go to Indians because of their status as Indians. And you said, well, sure, you can look at this, and I understand it's your backup argument, but you can understand it in its ordinary meaning as the other Petitioner advocates for. Now you say but a lesser-included definition would be the term-of-art recognition definition like we see in the later-passed List Act. I don't really see how you can have a a lesser included specialized definition. It seems to me either it's ordinary meaning or it's not. And, you know, you're kind of cagey in your brief and I think a little bit at oral argument too about whether, in fact, that eligibility clause refers to FRT status. So which is it? I mean, is this the first time that the government has taken the position that language like this doesn't refer to FRT status?
",0.3805810213088989
835,20-543,Amy_Coney_Barrett_,1675.15,1717.8," But but let me just ask you. That sounds like you're folding back into your argument about, well, specific mention of the Alaskan entities would have not made any sense if the eligibility clause was designed to apply to them because ANCs by their very composition have you know, they were designed to channel money from the federal government to their shareholders, and so they had that status from the beginning. So what I'm asking you is a little bit different because, if the ordinary meaning, say, of that eligibility clause prevails, then we don't have to we could rule in your favor without doing this kind of fancy footwork around the awkward grammatical reading of the statute.
",0.5940575003623962
836,20-543,John_G_Roberts_Jr_,1897.445,1928.645," Thank you, counsel. In your brief, you compare this statute to the case of a caretaker being told to feed the cats, the dogs, and goldfish, which are barking, and but the force of that analogy comes from the fact that it's impossible for the goldfish to bark. In this case, though, Congress has the authority, right, to formally recognize the ANCs? And so doesn't that undermine your analogy?
",-0.2272280603647232
837,20-543,Clarence_Thomas_,2150.85,2169.885," What do you make of the fact that, at least as I understand it, there were no changes made to address the confusion that we have or the controversy we have in the in this case in the American Rescue Plan Act?
",-0.9594654440879822
838,20-543,Stephen_G_Breyer_,2205.745,2226.545," With your other argument that, you said, well, they're eligible, that they're eligible. In mine, that would get us out of this problem, but I'm worried about the other 150 statutes. Have you looked at those? Do you know just your definition that kind of definition wouldn't cause a problem somewhere else?
",-0.03230157867074013
839,20-543,Sonia_Sotomayor_,2497.02,2529.49," No, I I I I don't disagree with you. I think that it would make no sense to think that ISDA was based on political recognition. But let's get to the CARES Act, okay? How would I see that as relevant to saying that you were recognized to receive money that was being given to governments when ANC are not governments?
",0.8488013744354248
840,20-543,Neil_Gorsuch_,2707.845,2744.215," Good morning, Mr. Clement. It seems to me that the government is a little nervous about moving off of recognition in its formal sense because it's concerned about self-identifying groups declaring their eligibility for a lot of federal programs. And you're a little less concerned about that, understandably, but there are a couple of a couple of terms there that just I I struggle with. To the extent we're defining a tribal government for the CARES Act, isn't that an odd fit for a corporate board?
",0.20456090569496155
841,20-543,Neil_Gorsuch_,2785.59,2803.64499995," What what what about the separate phrase, ""to Indians because of their status as Indians""? Again, that seems like an odd fit for the ANCs given that, of course, you could be a member of the corporation without being a native today, a lot of alienation has occurred and is permissible.
",0.013457114808261395
842,20-543,Brett_M_Kavanaugh_,2863.31,2893.92999995," Thank you, Chief Justice. Good morning, Mr. Clement. I just want to explore briefly your understanding of the term-of-art canon. Is it your understanding, I think, from what you're saying that the canon is something of an exception to ordinary meaning? In other words, sometimes you'll look at a phrase or words and say the ordinary meaning is X, but the term of art that we know is is Y? Is that your understanding of how it works?
",-0.8912134766578674
843,20-543,Amy_Coney_Barrett_,3003.435,3021.56999995," Mr. Clement, why wouldn't it make sense? I mean, as you just pointed out, the List Act uses language that's identical to the eligibility clause in ISDA, so why then aren't ANCs really practically automatically recognized under the List Act?
",0.0013381312601268291
844,20-543,Amy_Coney_Barrett_,3107.96,3135.385," I mean, I can see that, but it's kind of at war with the the plain meaning of the text if it's understood to be a term of art. And, I mean, I take your point that maybe it wasn't a term of art when ISDA was enacted but became so later, particularly after the List Act. But can you think of any other instance in statutory interpretation where something has had its ordinary meaning in the beginning and then gained a term of art where then you interpret statutes differently depending on where they fell along the continuum of that process?
",0.432187557220459
845,20-543,John_G_Roberts_Jr_,3365.005,3435.505," Counsel, your side's fundamental argument is that the text is clear and that that doesn't include by the time you get to the end of the sentence, it doesn't include the ANCs. But the text itself, in in the middle of the the the clause, does include the ANCs, and then that same clause, under your reading, takes eligibility away from the ANCs. And my question is, why doesn't that text undermine the plain language argument? In other words, we're not talking about some overriding purpose. We're not talking about legislative history. What we're talking about is the text, and the text says in the list ANCs. And then the text takes away eligibility. And it seems to me that that text creates ambiguity so that it a textual reading isn't a plain reading. What what's your answer to that?
",0.36432111263275146
846,20-543,John_G_Roberts_Jr_,3514.13,3546.735," Counsel, I don't under I'm not sure I'm not sure I agree with your argument about the uncertainties. ANCs have never had sovereign authority. They didn't at the time. That was the whole point. This was a revolution in the relationship between the national government and Native American governments. These were not governmental organizations. There was no uncertainty at the time. The whole point was that they were not governmental entities.
",1.2141730785369873
847,20-543,John_G_Roberts_Jr_,3590.055,3611.09," Well, why would Congress put ANCs in the language and then take them out? I mean, is it is your argument based solely on the uncertainty that at some point in the future the Congress might undo the whole ANCSA approach based on Congress's Alaska's distinct situation?
",-0.6990118026733398
848,20-543,Clarence_Thomas_,3723.41,3757.12," The Mr. Clement made quite a bit of the broader recognition language in the D.C. Circuit's opinion, and he focused more on the language, ""recognized as eligible"" language. Would you respond to his argument a bit and what you think is a is a refutation of his argument?
",-1.5909844636917114
849,20-543,Stephen_G_Breyer_,3918.095,3953.425," Good morning. Thank you. Imagine you work for a company that sends people subscription requests, you know, they keep information about subscriptions to vast numbers of publications, and I write back, you get this letter, and you're in charge of filling requests, Dear et cetera I would like more information about any newspaper, including The Atlantic Monthly, which is published daily. Would would you be at a loss as to how to fill that request?
",-0.4782511293888092
850,20-543,Stephen_G_Breyer_,3957.89,3984.67," The example is you get a letter from me or from somebody that says please send me more information about any newspaper on your list, including The Atlantic Monthly, which is published daily. I'm just asking you if you'd if you'd have a problem giving me what I want. Is it you wouldn't know what I want?
",-0.28897786140441895
851,20-543,Stephen_G_Breyer_,4013.79,4051.74," Then you take it home and you show it to your cousin, who is the world's greatest grammarian, and you say, see the kind of bad grammar I get. And he says, you're right to call that poor grammar, bad grammar, but not incorrect grammar. It's not good, but it's far from perfect. And I ask you that only because I've never heard of a canon that says you have to use perfect grammar or even that you have to use good grammar when you are a member of Congress. What do you think?
",1.1175733804702759
852,20-543,Samuel_A_Alito_Jr_,4096.395,4146.205," Mr. Rasmussen, suppose that the definition of ""Indian Tribe"" in the CARES Act had never been used before. It had not been used in the ISDA. It had not been used in any prior statute. It was crafted by Congress and put in the CARES Act. And the CARES Act provides a one-time distribution of money, and at the time of the enactment of the CARES Act, no ANC had been recognized in the sense that you think is necessary. How then would you account for the reference to ANCs in the definition of an Indian Tribe? Would you make the same argument, or would your argument have to be different?
",-0.9551537036895752
853,20-543,Samuel_A_Alito_Jr_,4195.99,4209.995," Well, Congress didn't Congress didn't know it was making a one-time distribution of funds? Congress didn't know or we should not presume that Congress was aware that no ANC had been recognized in the sense that you think is important?
",0.04572848603129387
854,20-543,Samuel_A_Alito_Jr_,4225.86,4240.56," Well, you would not not just have a more difficult argument on absurdity, you would have an impossible argument on absurdity because you would have a clause that means nothing, that contradicts the meaning that you ascribed to this provision, right?
",0.47452062368392944
855,20-543,Samuel_A_Alito_Jr_,4247.23,4276.26000005," Well, how do you disagree? You say that no A an A in order to be eligible for these funds, an entity has to be recognized in a certain sense. No ANC had been recognized in that sense at the time when Congress made this one-time distribution of funds. And yet Congress referred to ANCs in the definition of groups that are eligible for these funds. There's a blatant contradiction.
",0.5782620310783386
856,20-543,Samuel_A_Alito_Jr_,4331.53,4361.84499995," All right. Let me come back to my my example. Is there any reason why we should not analyze the CARES Act as if the definition of an Indian Tribe had been created for that purpose and in instead of incorporating by reference a definition that was adopted at at a different time? Do you see a difference between those two things?
",-0.8105469346046448
857,20-543,Samuel_A_Alito_Jr_,4387.025,4414.89," But you would escape you tried to escape absurdity by saying that when the ISDA definition was adopted, there was a possibility that ANCs would be recognized in the relevant sense, and at some point in the future, Congress might decide to recognize ANCs in that sense. But, when you just look at the time when the CARES Act was adopted, we know that no ANC had been recognized in that sense.
",0.39486631751060486
858,20-543,Sonia_Sotomayor_,4421.23999995,4541.79," Counsel, we do keep going around in a circle, and the circle starts with the fact that even the government recognizes, and you must too, that in 1974 the recognition clause could not have meant political recognition because that didn't exist at the time. It only existed in the 1990s. So 45 years ago, in 1974 is my math right when ISDA was passed, there was no term of art that you were recognized as a government body. So now what you're arguing, I think, is that's clear today when the CARES Act was passed, but, as Justice Alito just pointed out, then why would Congress have bothered to include ANCs in the CARE Act at all since, after 45 years, it clearly knows now that no ANC has ever been politically recognized? Now I think the government's absurdity absurdity argument has more force because, in 45 years, not a one if we accept what the D.C. Circuit said, that in 1974 it was uncertain whether some would be recognized politically, it's clear now it's not going to be. So don't we have to accept Mr. Clement's argument that ISDA's language, as used in the CARES Act, cannot mean political recognition?
",0.8048776984214783
859,20-543,Sonia_Sotomayor_,4564.75,4608.915," actually your strongest argument. And I'm going to hope that in its reply, the government will address that question, which is it may not be the case with some of ISDA's uses in other acts, like the Housing Act, and in other provisions of care, coronavirus care, where that governing body definition isn't included, that one could argue take up the recognition argument that Mr. Clement has made more clearly. But perhaps then I'll stop now and let the government pick that up later.
",0.23457932472229004
860,20-543,Elena_Kagan_,4611.605,4692.75499995," Mr. Rasmussen, you know, I agree with you that grammar is very important in understanding statutes and that grammar often allows us to choose between two possible meanings of a statute. But you have to have another possible meaning for grammar to serve that function, and the question is whether there really is another conceivable meaning here. So you said there is because Congress in the future could have recognized ANCs. Justice Alito said to you it had never done that in the past. But there's there's something even more than that which seems to make this an implausible understanding, which is that, you know, putting aside whether it's theoretically plausible, I mean, ANCs are just different from the Tribes that were recognized at the time. They are nonprofit corporations excuse me, for-profit corporations. No historic bonds. Members who aren't shareholders who aren't members of the tribe. And why should we even think that Congress had that in mind as a possibility at the time to make these federally recognized tribes?
",0.5069939494132996
861,20-543,Elena_Kagan_,4777.085,4817.16," Well, again, if we could just go back to 1975 and ask, like, was there really any realistic prospect that Congress would have included ANCs as as federally recognized tribes? And if I say, you know, it's theoretically possible, Congress has the authority to do this, but if you went around and you polled Congress and you said do you think of ANCs as federally recognized tribes, they would say, well, of course not. And and and say I thought that there was an extremely low probability that anybody thought that that was, you know, a possibility.
",0.5552573800086975
862,20-543,Elena_Kagan_,4818.95,4834.61999995," Then wouldn't they just say, well, look, we can you know, it's a it's a theoretical possibility that we can put it from our minds and and we can say they wouldn't have included this clause about ANCs if they didn't mean to include this clause about ANCs?
",0.15870077908039093
863,20-543,Neil_Gorsuch_,4870.395,4902.93," Mr. Rasmussen, first, I'd like you to address kind of a practical question. Your brief was expressed concern that ruling for the ANCs would allow a sort of double-dipping, that they'd be counted twice for purposes of the CARES Act. Mr. Clement responded to that concern this morning by suggesting that the federal government has lots of ways to administratively ensure that that doesn't occur. If that's right, it's hard to see what we're fighting about here. Can you explain your views?
",-0.7963597178459167
864,20-543,Neil_Gorsuch_,5001.76,5027.65500005," Allow allow me to move to a different set of questions if I might. The CARES Act speaks of tribal governments, and I asked Mr. Clement, is that an awkward fit with ANCs, for-profit corporations? And he suggested no, that it's entirely possible that native tribes in the lower 48 could organize themselves in a similar fashion. What what are your thoughts about that?
",-1.2380765676498413
865,20-543,Neil_Gorsuch_,5095.33,5114.435," And and just to return to a question that Justice Thomas posed that I'm not sure I got the answer to, if if effectively this recognition clause asks us to to inquire whether the tribe's recognized, why didn't Congress just cross-reference the List Act?
",-0.6806466579437256
866,20-543,Brett_M_Kavanaugh_,5170.245,5250.345," Thank you, Chief Justice. Good morning, Mr. Rasmussen. I want to give you an opportunity to respond to how I think the two statutory arguments on the other side merge potentially. So it seems to me, if we start with the text and we look at ""recognized as eligible,"" we have a choice. Do we read that in its ordinary meaning, as Mr. Clement says, or do we read it as a term of art? And that's a choice we have, and we have to figure out, how do we resolve that? And one of the ways we usually resolve that is looking at the context to see how Congress might have been using the phrase here. And once we broaden out the lens and look at the context, we see the express inclusion of the ANCs and we see that they would be left out completely, meaning many tens of thousands of native Alaskans would be left out completely not only from the CARES Act but from many other social services statutes. So, given that context, if that's correct, why doesn't that absurdity or oddity or whatever you want to call it help influence the choice we have to make between whether to follow ordinary meaning or term-of-art meaning for the phrase ""recognized as eligible""?
",-0.23139919340610504
867,20-543,Brett_M_Kavanaugh_,5332.26,5358.2," And when we figure out do we go ordinary meaning or we go term of art on that, it seems that the express inclusion of the ANCs, and given some of the points that have been made, no one thought the ANCs would ever be politically recognized now or then or in the future, doesn't that help us choose ordinary meaning rather than term-of-art meaning here so as to avoid that oddity, that absurdity, et cetera?
",0.38738566637039185
868,20-543,Brett_M_Kavanaugh_,5387.27,5401.765," And on the on the ratification argument, you said, well, that doesn't apply when there's a plain meaning. But I'm not sure we have a plain meaning. And your argument's really not plain meaning because you're relying on a term-of-art construction of ""recognized as eligible.""
",0.5045393705368042
869,20-543,Brett_M_Kavanaugh_,5430.09,5473.48," let me ask one other thing. The amicus briefs from Senators Murkowski and Sullivan and Congressman Young, from the Alaska Federation of Natives, from the State of Alaska, from Cook Inlet, they used terms like ""stunning,"" ""egregious,"" ""destabilizing,"" ""staggering,"" in terms of the effects that an affirmance would have on this program but also many other programs. Now they know Alaska. They know how these statutes fit together. The members of Congress from Alaska are are appropriately attentive to this. Why are they wrong in describing the consequences of choosing the term of art over ordinary meaning?
",0.650507390499115
870,20-543,Amy_Coney_Barrett_,5519.765,5539.06," Mr. Rasmussen, I want to be sure that I understand your position. You told Justice Thomas and then I think you repeated again to Justice Kavanaugh that what it takes to establish a trust relationship between a native Alaskan or a Native American from the lower 48 is enrollment in a tribe. Did I understand that correctly?
",-0.9481988549232483
871,20-543,Amy_Coney_Barrett_,5548.46,5583.84," Okay. Well, then what do we make I'm going to read you this language from ANCSA, and I'm wondering how to fit that in with your theory. It says: ""Alaska natives shall remain eligible for all federal Indian programs on the same basis as other Native Americans notwithstanding any other provision of law."" I would take that to mean that because of Alaska's unusual, indeed, very distinct method of handling benefits to Native Americans, that that amendment to ANCSA makes clear that that trust relationship exists even though they don't enroll in tribes. Am I wrong about that?
",0.0867019072175026
